time,x,y,z,vx,vy,vz,airspeed,Wz,CL,Phi,CL_cmd,phi_cmd,dist_to_center
0.0,490.0,500.0,490.0,15.0,0.0,0.0,15.0,0.0,0.2,0.0,0.2,0.0,542.3098745182499
0.2,492.8656540916264,499.6496336816235,490.4356870947704,13.2733755885247,-3.345554961207503,4.18785466443659,14.314795290291332,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,540.8829759689894
0.4,495.1817904187494,498.75784193645694,491.5886571128308,9.720526186725245,-5.299428048279528,7.086448932797743,13.144973391485175,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,539.1751884769744
0.6000000000000001,496.7253848308162,497.64662303398245,493.16370981557446,5.766900888240152,-5.559389052777295,8.411930025970985,11.615701410451171,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,537.5618388514073
0.8,497.5387100180939,496.62049175172314,494.86002684418594,2.5520820158799977,-4.5538686453017085,8.358566050964765,9.854768829494725,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,536.304472076134
1.0,497.8298823754686,495.8590295039189,496.44231202749665,0.5737669787412416,-3.0361867793839803,7.344812219622288,7.968306297244904,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,535.4894336967678
1.2,497.8436780570801,495.3936058007054,497.76125386765284,-0.2752490455497154,-1.683696903083988,5.784269766249659,6.030619705078453,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,535.0532713382044
1.4,497.76364654815126,495.1495411655036,498.7392504058078,-0.45393734624488535,-0.8510190375486119,3.9713212316103244,4.086769487165255,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,534.8575612010266
1.5999999999999999,497.67428816875736,495.01924117228725,499.3437415119519,-0.432338650005104,-0.5188690969268104,2.065265087862411,2.172892480353598,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,534.7707385401768
1.7999999999999998,497.5892374211893,494.92382723128395,499.5631420747856,-0.42292319064010364,-0.4595779589933148,0.12491875944095798,0.6369306257622837,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,534.7146075889432
1.9999999999999998,497.50251943195326,494.83176892418044,499.39371214848563,-0.4627603904063353,-0.4668932223966094,-1.8139773824214047,1.929417115085622,0.0,0.39148824417514155,0.5160668792115866,0.39148824417514155,0.5160668792115866,534.6622384020027
2.1999999999999997,497.3780706352288,494.71788275042366,498.848446076718,-0.8709724954156834,-0.7175139429137114,-3.604753932461743,3.777256975590171,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,534.6039934124738
2.4,497.1064122616678,494.5271829562064,497.9754426465181,-1.9845623758432707,-1.2185161670767788,-5.034026867306617,5.546593186254517,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,534.5305815647347
2.6,496.5261351534724,494.226921499796,496.88971516427074,-3.9422079584809975,-1.7620247791418469,-5.645551858595967,7.107600910174766,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,534.473445187643
2.8000000000000003,495.4963957797895,493.8423022599635,495.8074373500602,-6.365453183890251,-2.007903441343175,-4.942420746860334,8.30531115040561,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,534.5109387472605
3.0000000000000004,494.0092965038653,493.4610471647258,495.01118659232907,-8.349729561354708,-1.7139243455699185,-2.8357100133296074,8.983138187170216,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,534.7298149493258
3.2000000000000006,492.24966224789716,493.18922693371997,494.72827259292336,-8.994162145509971,-0.9569073133374757,0.03001431187052761,9.044972369496788,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,535.1596176839141
3.400000000000001,490.5193088278092,493.0855356798605,495.00282006319156,-8.104959728974977,-0.09875714149963744,2.5717526948697635,8.503766054218167,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,535.7382807590603
3.600000000000001,489.07172470594134,493.132436388748,495.6801986333619,-6.304712635505886,0.5111540389265646,3.9870751177449515,7.477128316563748,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,536.3490814173441
3.800000000000001,488.0003275445331,493.2658996289401,496.5115197623737,-4.4645025192053405,0.7724801417226885,4.139975875687012,6.137418721630224,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,536.8939456335607
4.000000000000001,487.250483919474,493.42595866645775,497.27293952486986,-3.139149030924651,0.8051522771502226,3.3561242986927105,4.665415001479611,0.0,0.7031515918367347,0.1745907790179554,0.7031515918367347,0.1745907790179554,537.3374482375212
4.200000000000001,486.7601638648614,493.5341422100392,497.86098415533155,-1.9080820639800438,0.3486871331511086,2.3758622642863196,3.067096571444597,0.0,1.2580349197087706,-0.11014925707549932,1.2580349197087706,-0.11014925707549932,537.6310791257699
4.400000000000001,486.43230645782916,493.5867379220219,498.1846939799408,-1.4746918201382142,0.21032644929431069,0.8084676173651189,1.6948666814777331,0.0,1.2580349197087706,-0.11014925707549932,1.2580349197087706,-0.11014925707549932,537.8094714463713
4.600000000000001,486.1427714352133,493.6252142050749,498.1739261456852,-1.473102451844291,0.1811155926766034,-0.9116231015627119,1.7418066399124437,0.0,1.2580349197087706,-0.11014925707549932,1.2580349197087706,-0.11014925707549932,537.9598184887209
