Time,X,Y,Z,Airspeed,Wz_Atmosphere,Dist_to_Thermal,Phi_Command,Alpha_Command
0.5,9.975170026967286,0.0,399.26511554401543,20.115683380606985,7.870326020125334e-43,700.0888043599181,0.0,0.0
1.0,19.90048407920632,0.0,397.0797929470194,20.628991084757967,5.410034755762238e-42,693.1778597065694,0.0,0.0
1.5,29.774950123944027,0.0,393.5022408444738,21.449240004516113,3.5455681492788405e-41,686.3756970719019,0.0,0.0
2.0,39.59684966933783,0.0,388.6240294881887,22.45855460668124,2.2158136371863147e-40,679.6845303774379,0.0,0.0
2.5,49.36403397964815,0.0,382.5608820040514,23.54416884195748,1.3206613991097648e-39,673.1068071792884,0.0,0.0
3.0,59.07420410637046,0.0,375.44238441244283,24.617287094913447,7.507677102138053e-39,666.6450010946086,0.0,0.0
3.5,68.72512897640622,0.0,367.40231310379596,25.61833184624349,4.071346352538425e-38,660.3014571969514,0.0,0.0
4.0,78.31478907121459,0.0,358.57075133082526,26.513939290298353,2.106600423869366e-37,654.0782958607128,0.0,0.0
4.5,87.84145380764123,0.0,349.0685096541105,27.29071555058646,1.0403225060281315e-36,647.9773662709206,0.0,0.0
5.0,97.3037088583089,0.0,339.00381510670053,27.948747309745222,4.90527147269377e-36,642.0002359028177,0.0,0.0
5.5,106.70045016457418,0.0,328.4708959828575,28.496192546964068,2.2093760595851313e-35,636.1482027804122,0.0,0.0
6.0,116.03085851138736,0.0,317.54995756723065,28.945300384830947,9.5108740207913e-35,630.4223200486339,0.0,0.0
6.5,125.2943647727061,0.0,306.30805686233396,29.309745386973074,3.915373699721392e-34,624.8234255140326,0.0,0.0
7.0,134.49061250356107,0.0,294.80047182043893,29.602996337054396,1.5424313790950995e-33,619.3521715050508,0.0,0.0
7.5,143.6194218757841,0.0,283.0722701149308,29.837423628247194,5.8185055906289495e-33,614.0090524285048,0.0,0.0
8.0,152.68075706176802,0.0,271.1598836902482,30.023895409875724,2.103266590396071e-32,608.7944287813306,0.0,0.0
8.5,161.67469793605525,0.0,259.09257547757,30.171674701600097,7.290653107000355e-32,603.7085472449926,0.0,0.0
9.0,170.60141621977724,0.0,246.89374181816876,30.288486958648587,2.425183549111711e-31,598.75155698872,0.0,0.0
9.5,179.46115578465717,0.0,234.58203150401596,30.38067287604982,7.74726194196569e-31,593.9235225606978,0.0,0.0
10.0,188.25421664140836,0.0,222.17228472262664,30.453373969777367,2.3784687380606554e-30,589.2244338466134,0.0,0.0
10.5,196.9809420760862,0.0,209.676307163504,30.5107206915895,7.022822911765319e-30,584.6542135870537,0.0,0.0
11.0,205.64170840978412,0.0,197.1034997868233,30.556007151238138,1.995762229563928e-29,580.212722911098,0.0,0.0
11.5,214.2369169055118,0.0,184.4613659436134,30.591845310329596,5.462656485903828e-29,575.899765288776,0.0,0.0
12.0,222.76698740919602,0.0,171.75591647904514,30.620296631322663,1.4411494650872186e-28,571.7150892447853,0.0,0.0
12.5,231.23235337705725,0.0,158.99199130102969,30.642981946413762,3.6671832444754803e-28,567.6583901178903,0.0,0.0
13.0,239.6334580026643,0.0,146.17351335178904,30.66117166159779,9.006978232654435e-28,563.7293110985541,0.0,0.0
13.5,247.97075121086704,0.0,133.30368837395588,30.67585892317665,2.136725871922387e-27,559.9274437328596,0.0,0.0
14.0,256.2446873317045,0.0,120.3851615173631,30.687818420747043,4.899340629781774e-27,556.2523280436842,0.0,0.0
14.5,264.45572330553154,0.0,107.42013977491209,30.697653309990862,1.0865183998863614e-26,552.7034523897244,0.0,0.0
15.0,272.6043173017673,0.0,94.4104874867014,30.70583244451299,2.3320300761272713e-26,549.2802531584358,0.0,0.0
15.5,280.69092765879583,0.0,81.35780069676782,30.71271978405674,4.847426982565861e-26,545.9821143692891,0.0,0.0
16.0,288.71601207262904,0.0,68.26346495563475,30.71859753657504,9.7644186417565e-26,542.8083672480495,0.0,0.0
16.5,296.68002697785755,0.0,55.128700197872185,30.72368431268591,1.9072731344088234e-25,539.7582898202905,0.0,0.0
17.0,304.58342707696704,0.0,41.95459555060226,30.72814932983585,3.614761787861428e-25,536.8311065623741,0.0,0.0
17.5,312.4266649839448,0.0,28.742136312850455,30.732123500375565,6.6513716764564425e-25,534.0259881401329,0.0,0.0
18.0,320.2101909557991,0.0,15.492224857544192,30.735708069820372,0.0,531.3420512590268,0.0,0.0
