time,x,y,z,vx,vy,vz,phi,alpha,Wz,dist_to_center
0.0,0.0,0.0,200.0,20.0,0.0,0.0,-0.2771913743488342,3.123192977571627e-11,1.2896263383538715e-43,707.1067811865476
2.0,39.57853017356902,0.0,180.52497427201723,19.554671255437103,0.0,-19.388217208292552,-0.12660965725502177,8.234187768690756e-12,2.62185202299397e-40,679.6969397291201
4.0,78.06712102502648,0.0,122.96795858717894,18.88997975531514,0.0,-37.98987140052259,-0.12660965725502177,8.234187768690756e-12,2.4374131932867923e-37,654.2379951975502
6.0,114.96542631428731,0.0,29.4645605128179,17.968034868842686,0.0,-55.248080350566454,-0.12660965725502177,8.234187768690756e-12,1.004032515960931e-34,631.0718048949252
