time,x,y,z,vx,vy,vz,phi,alpha,Wz,dist_to_center
0.0,0.0,0.0,200.0,20.0,0.0,0.0,-0.2771913743488342,3.123192977571627e-11,1.2896263383538715e-43,707.1067811865476
2.0,39.51683068848918,2.159651887145932,188.33562563903627,19.466113560746862,2.189451871851922,-11.263495750534432,-0.17225361472303935,1.584342355145726e-11,3.965284211861587e-40,678.1517244896612
4.0,77.77096780925086,8.028510155502056,157.71545752961126,18.749919001771342,3.705792546169166,-18.65441714683353,-0.09907853714645673,8.045108389672519e-12,1.1113829676637106e-36,648.3157428634227
6.0,114.54736221474485,16.321859980611173,116.24991952636621,18.01156656269998,4.589153576112794,-22.35739142776747,-0.06813811147275632,5.23503856327504e-12,2.1974086140054085e-33,618.4806214492307
8.0,149.86104771746042,26.059553040663033,69.60065253531755,17.297917795537487,5.144255405160857,-24.084592544240476,-0.06813811147275632,5.23503856327504e-12,2.645788361487524e-30,589.2510782082037
10.0,183.7285532079778,36.876629038769906,20.45639256390791,16.568130230834548,5.666421828803194,-24.974524203083863,-0.06813811147275632,5.23503856327504e-12,1.8968288650860053e-27,560.8127002720356
